id,minimum_latitude,minimum_longitude
264,-0.32000,166.55000
265,-14.33000,-170.72000
266,21.98000,-159.35000
267,19.72000,-155.07000
268,7.08000,171.38000
269,1.35000,172.92000
270,-20.00000,-140.00000
271,-20.00000,-140.00000
272,30.00000,-180.00000
273,-20.00000,120.00000
274,31.00000,-107.00000
275,31.00000,-107.00000
276,30.00000,-105.00000
277,31.00000,-107.00000
278,31.00000,-106.00000
279,-20.00000,-140.00000
280,20.00000,-130.00000
281,37.00000,-91.00000
282,30.00000,-105.00000
283,-20.00000,-140.00000
284,-20.00000,-140.00000
285,-20.00000,-140.00000
286,20.00000,-125.00000
287,-20.00000,120.00000
288,-55.00000,130.00000
289,-60.00000,130.00000
290,-90.00000,120.00000
291,31.00000,-107.00000
292,25.00000,-127.00000
293,23.00000,-125.00000
294,23.00000,-135.00000
295,23.00000,-135.00000
296,23.00000,-130.00000
297,26.00000,-155.00000
298,15.00000,-175.00000
299,-75.00000,130.00000
300,-75.00000,130.00000
301,-53.50000,159.00000
302,-75.00000,130.00000
303,39.20000,-79.00000
304,39.00000,-79.00000
305,-75.00000,130.00000
306,39.00000,-79.00000
307,39.00000,-79.00000
308,39.00000,-79.00000
309,39.00000,-79.00000
310,39.00000,-79.00000
311,39.00000,-79.00000
312,39.00000,-79.00000
313,39.00000,-79.00000
314,39.00000,-79.00000
315,38.90000,-81.00000
316,38.90000,-81.00000
317,37.90000,-81.00000
318,37.90000,-81.00000
319,37.90000,-81.00000
320,37.90000,-81.00000
321,37.90000,-81.00000
322,37.90000,-81.00000
323,37.90000,-81.00000
324,37.90000,-81.00000
325,37.90000,-81.00000
326,38.50000,-84.90000
327,38.50000,-84.90000
328,38.50000,-84.90000
329,38.50000,-84.90000
330,38.50000,-84.90000
331,38.50000,-84.90000
332,38.50000,-84.90000
333,38.50000,-84.90000
334,38.50000,-84.90000
335,38.50000,-84.90000
336,38.50000,-84.90000
337,37.50000,-83.20000
338,37.50000,-83.20000
339,37.50000,-83.20000
340,37.50000,-83.20000
341,37.50000,-83.20000
342,37.50000,-83.20000
343,37.50000,-83.20000
344,37.50000,-83.20000
345,37.50000,-83.20000
346,37.50000,-83.20000
347,37.50000,-83.20000
348,15.00000,-175.00000
349,-70.00000,110.00000
350,-75.00000,130.00000
351,-60.00000,130.00000
352,-60.00000,130.00000
353,-40.70000,144.70000
354,-40.70000,144.70000
355,-60.00000,130.00000
356,24.00000,-132.00000
357,39.00000,-79.00000
358,38.50000,-84.90000
359,37.50000,83.20000
360,37.90000,81.00000
361,33.00000,-104.00000
362,20.00000,-180.00000
363,25.00000,-125.00000
364,-70.00000,110.00000
365,-51.00000,142.00000
366,37.00000,-94.00000
367,25.00000,-104.00000
368,25.00000,-104.00000
369,0.00000,-155.00000
370,0.00000,-155.00000
371,0.00000,175.00000
372,0.00000,175.00000
373,22.00000,-100.00000
374,10.00000,-130.00000
375,29.00000,-125.00000
376,40.00000,-85.00000
377,10.00000,-140.00000
378,20.00000,-128.00000
379,40.00000,-80.00000
380,41.00000,-91.00000
381,39.00000,-91.00000
382,15.00000,-145.00000
383,39.00000,-85.00000
384,-90.00000,-180.00000
385,-20.00000,120.00000
386,37.00000,-95.00000
387,15.00000,-175.00000
388,-40.70000,144.70000
389,-20.83000,-180.00000
390,16.81000,172.93000
391,16.81000,172.93000
392,20.13000,-136.46000
393,20.13000,-136.46000
394,16.81000,172.93000
395,16.81000,172.93000
396,16.81000,172.93000
397,20.00000,-110.00000
398,20.00000,-110.00000
399,20.00000,-110.00000
400,16.81000,172.93000
401,16.81000,172.93000
402,-90.00000,79.00000
403,-70.00000,110.00000
404,-70.00000,110.00000
405,-70.00000,110.00000
406,-70.00000,110.00000
407,-70.00000,110.00000
408,-70.00000,110.00000
409,17.52000,-129.30000
410,-60.00000,130.00000
411,33.00000,-125.00000
412,-60.00000,130.00000
413,-60.00000,130.00000
414,-60.00000,130.00000
415,38.00000,-108.00000
416,38.00000,-108.00000
417,38.00000,-108.00000
418,38.00000,-108.00000
419,38.00000,-108.00000
420,38.00000,-108.00000
421,38.00000,-108.00000
422,38.00000,-108.00000
423,38.00000,-108.00000
424,38.00000,-108.00000
425,38.00000,-108.00000
426,38.00000,-108.00000
427,38.00000,-108.00000
428,38.00000,-108.00000
429,38.00000,-108.00000
430,37.00000,-108.00000
431,38.00000,-108.00000
432,38.00000,-108.00000
433,38.00000,-108.00000
434,38.00000,-108.00000
435,38.00000,-108.00000
436,37.00000,-107.50000
437,37.00000,-107.50000
